
Assets........................
Test: Z8 portfolio 2011..2016
Error 062: Can't open Z8.par (rt:2)
[791: Thu 28.10.10 00:00]  00791
[792: Fri 29.10.10 00:00]  00792
[793: Mon 01.11.10 00:00]  00793
[794: Tue 02.11.10 00:00]  00794
[795: Wed 03.11.10 00:00]  00795
[796: Thu 04.11.10 00:00]  00796
[797: Fri 05.11.10 00:00]  00797
[798: Mon 08.11.10 00:00]  00798
[799: Tue 09.11.10 00:00]  00799
[800: Wed 10.11.10 00:00]  00800
[801: Thu 11.11.10 00:00]  00801
[802: Fri 12.11.10 00:00]  00802
[803: Mon 15.11.10 00:00]  00803
[804: Tue 16.11.10 00:00]  00804
[805: Wed 17.11.10 00:00]  00805
[806: Thu 18.11.10 00:00]  00806
[807: Fri 19.11.10 00:00]  00807
[808: Mon 22.11.10 00:00]  00808
[809: Tue 23.11.10 00:00]  00809
[810: Wed 24.11.10 00:00]  00810
[811: Fri 26.11.10 00:00]  00811
[812: Mon 29.11.10 00:00]  00812
[813: Tue 30.11.10 00:00]  00813
[814: Wed 01.12.10 00:00]  00814
[815: Thu 02.12.10 00:00]  00815
[816: Fri 03.12.10 00:00]  00816
[817: Mon 06.12.10 00:00]  00817
[818: Tue 07.12.10 00:00]  00818
[819: Wed 08.12.10 00:00]  00819
[820: Thu 09.12.10 00:00]  00820
[821: Fri 10.12.10 00:00]  00821
[822: Mon 13.12.10 00:00]  00822
[823: Tue 14.12.10 00:00]  00823
[824: Wed 15.12.10 00:00]  00824
[825: Thu 16.12.10 00:00]  00825
[826: Fri 17.12.10 00:00]  00826
[827: Mon 20.12.10 00:00]  00827
[828: Tue 21.12.10 00:00]  00828
[829: Wed 22.12.10 00:00]  00829
[830: Thu 23.12.10 00:00]  00830
[831: Mon 27.12.10 00:00]  00831
[832: Tue 28.12.10 00:00]  00832
[833: Wed 29.12.10 00:00]  00833
[834: Thu 30.12.10 00:00]  00834
[835: Fri 31.12.10 00:00]  00835
[836: Mon 03.01.11 00:00]  00836
AGG: Open: 0  New: 26
[AGG::L3601] Long 26@91.57  at 00:00
DIA: Open: 0  New: 23
[DIA::L3602] Long 23@102.26  at 00:00
EWJ: Open: 0  New: 157
[EWJ::L3603] Long 157@10.1051  at 00:00
IVV: Open: 0  New: 11
[IVV::L3604] Long 11@114.45  at 00:00
LQD: Open: 0  New: 26
[LQD::L3605] Long 26@89.07  at 00:00
TLT: Open: 0  New: 30
[TLT::L3606] Long 30@79.73  at 00:00
XLK: Open: 0  New: 14
[XLK::L3607] Long 14@23.10  at 00:00
XLP: Open: 0  New: 94
[XLP::L3608] Long 94@25.34  at 00:00
XLU: Open: 0  New: 93
[XLU::L3609] Long 93@25.59  at 00:00
XLV: Open: 0  New: 82
[XLV::L3610] Long 82@28.93  at 00:00

[837: Tue 04.01.11 00:00]  +0 +9 6/4

Tuesday 04.01.11  Profit +8.79 ----
[838: Wed 05.01.11 00:00]  +0 -77 4/6

Wednesday 05.01.11  Loss -85.47 ----
[839: Thu 06.01.11 00:00]  +0 -64 4/6

Thursday 06.01.11  Profit +12.23 ----
[840: Fri 07.01.11 00:00]  +0 -40 6/4

Friday 07.01.11  Profit +24.29 ----
[841: Mon 10.01.11 00:00]  +0 -43 4/6

Monday 10.01.11  Loss -3.29 ----
[842: Tue 11.01.11 00:00]  +0 -26 6/4

Tuesday 11.01.11  Profit +17.32 ----
[843: Wed 12.01.11 00:00]  +0 +44 7/3

Wednesday 12.01.11  Profit +70.16 ----
[844: Thu 13.01.11 00:00]  +0 +66 8/2

Thursday 13.01.11  Profit +21.96 ----
