
Assets.............
Walk-Forward Test: Z1 portfolio 2010..2016
Read Z12.fac
Read Z12_1.par
Read Z12_2.par
Read Z12_3.par
Read Z12_4.par
Read Z12_5.par
Read Z12_6.par
Read Z12_7.par
Read Z12_8.par
Read Z12_9.par
Read Z12_10.par
[4679: Thu 03.01.13 00:00]  4: 04679
[4680: Thu 03.01.13 04:00]  4: 04680
[4681: Thu 03.01.13 08:00]  4: 04681
[4682: Thu 03.01.13 12:00]  4: 04682
[4683: Thu 03.01.13 16:00]  4: 04683
[4684: Thu 03.01.13 20:00]  4: 04684
[4685: Fri 04.01.13 00:00]  4: 04685
[4686: Fri 04.01.13 04:00]  4: 04686
[4687: Fri 04.01.13 08:00]  4: 04687
[4688: Fri 04.01.13 12:00]  4: 04688
[4689: Fri 04.01.13 16:00]  4: 04689
[4690: Sun 06.01.13 20:00]  4: 04690
[4691: Mon 07.01.13 00:00]  4: 04691
[4692: Mon 07.01.13 04:00]  4: 04692
[4693: Mon 07.01.13 08:00]  4: 04693
[4694: Mon 07.01.13 12:00]  4: 04694
[4695: Mon 07.01.13 16:00]  4: 04695
[4696: Mon 07.01.13 20:00]  4: 04696
[4697: Tue 08.01.13 00:00]  4: 04697
[4698: Tue 08.01.13 04:00]  4: 04698
[4699: Tue 08.01.13 08:00]  4: 04699
[4700: Tue 08.01.13 12:00]  4: 04700
[4701: Tue 08.01.13 16:00]  4: 04701
[4702: Tue 08.01.13 20:00]  4: 04702
[4703: Wed 09.01.13 00:00]  4: 04703
[4704: Wed 09.01.13 04:00]  4: 04704
[4705: Wed 09.01.13 08:00]  4: 04705
[4706: Wed 09.01.13 12:00]  4: 04706
[4707: Wed 09.01.13 16:00]  4: 04707
[4708: Wed 09.01.13 20:00]  4: 04708
[4709: Thu 10.01.13 00:00]  4: 04709
[4710: Thu 10.01.13 04:00]  4: 04710
[4711: Thu 10.01.13 08:00]  4: 04711
[4712: Thu 10.01.13 12:00]  4: 04712
[4713: Thu 10.01.13 16:00]  4: 04713
[4714: Thu 10.01.13 20:00]  4: 04714
[4715: Fri 11.01.13 00:00]  4: 04715
[4716: Fri 11.01.13 04:00]  4: 04716
[4717: Fri 11.01.13 08:00]  4: 04717
[4718: Fri 11.01.13 12:00]  4: 04718
[4719: Fri 11.01.13 16:00]  4: 04719
[4720: Sun 13.01.13 20:00]  4: 04720
[4721: Mon 14.01.13 00:00]  4: 04721
[4722: Mon 14.01.13 04:00]  4: 04722
[4723: Mon 14.01.13 08:00]  4: 04723
[4724: Mon 14.01.13 12:00]  4: 04724
[4725: Mon 14.01.13 16:00]  4: 04725
[4726: Mon 14.01.13 20:00]  4: 04726
[4727: Tue 15.01.13 00:00]  4: 04727
[4728: Tue 15.01.13 04:00]  4: 04728
[4729: Tue 15.01.13 08:00]  4: 04729
[4730: Tue 15.01.13 12:00]  4: 04730
[4731: Tue 15.01.13 16:00]  4: 04731
[4732: Tue 15.01.13 20:00]  4: 04732
[4733: Wed 16.01.13 00:00]  4: 04733
[4734: Wed 16.01.13 04:00]  4: 04734
[4735: Wed 16.01.13 08:00]  4: 04735
[4736: Wed 16.01.13 12:00]  4: 04736
[4737: Wed 16.01.13 16:00]  4: 04737
[4738: Wed 16.01.13 20:00]  4: 04738
[4739: Thu 17.01.13 00:00]  4: 04739
[4740: Thu 17.01.13 04:00]  4: 04740
[4741: Thu 17.01.13 08:00]  4: 04741
[4742: Thu 17.01.13 12:00]  4: 04742
[4743: Thu 17.01.13 16:00]  4: 04743
[4744: Thu 17.01.13 20:00]  4: 04744
[4745: Fri 18.01.13 00:00]  4: 04745
[4746: Fri 18.01.13 04:00]  4: 04746
[4747: Fri 18.01.13 08:00]  4: 04747
[4748: Fri 18.01.13 12:00]  4: 04748
[4749: Fri 18.01.13 16:00]  4: 04749
[4750: Sun 20.01.13 20:00]  4: 04750
[4751: Mon 21.01.13 00:00]  4: 04751
[4752: Mon 21.01.13 04:00]  4: 04752
[4753: Mon 21.01.13 08:00]  4: 04753
[4754: Mon 21.01.13 12:00]  4: 04754
