Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Roll,ExitType
VO,Short,GBP/USD,661929,3,2014-04-03 20:01,2014-04-07 20:00,1.6592,1.6613,-5.62,0.00,Sold
LP,Short,GBP/USD,661828,3,2014-04-03 16:01,2014-04-07 20:00,1.6584,1.6613,-7.79,0.00,Sold
ES,Short,EUR/USD,661227,5,2014-04-02 16:01,2014-04-08 09:17,1.3762,1.3767,-2.35,0.00,Exit
CT,Short,AUD/USD,650149,5,2014-03-07 04:01,2014-04-08 15:53,0.9091,0.9356,-125.15,-9.44,Stop
A2,Short,USD/JPY,618780,5,2013-12-20 04:01,2014-04-08 20:00,104.40,101.72,99.35,0.00,Sold
A2,Long,GBP/USD,651560,3,2014-03-11 12:01,2014-04-09 04:00,1.6609,1.6748,36.28,0.00,Sold
A2,Long,GBP/USD,656098,3,2014-03-21 00:01,2014-04-09 04:00,1.6507,1.6748,62.82,0.00,Sold
HP,Short,EUR/USD,659821,6,2014-03-31 08:01,2014-04-09 14:56,1.3760,1.3829,-36.13,0.00,Stop
BB,Short,XAG/USD,663536,5,2014-04-08 12:01,2014-04-09 16:00,20.08,19.8117,58.13,0.00,Sold
CY,Long,SPX500,663335,4,2014-04-08 04:02,2014-04-10 16:00,1848,1855,22.00,0.00,Sold
CY,Short,EUR/USD,657611,4,2014-03-25 16:01,2014-04-11 07:13,1.3778,1.3907,-45.27,0.00,Stop
BB,Short,XAG/USD,664742,5,2014-04-10 12:01,2014-04-14 12:00,20.28,19.8044,103.23,0.00,Sold
CY,Long,USD/CAD,659420,7,2014-03-28 16:01,2014-04-15 00:00,1.1064,1.0968,-47.79,0.00,Sold
CY,Long,USD/CAD,663134,7,2014-04-07 20:01,2014-04-15 00:00,1.0968,1.0968,-0.82,0.00,Sold
CY,Short,EUR/USD,660524,4,2014-04-01 12:01,2014-04-15 12:00,1.3792,1.3800,-2.95,0.00,Sold
HU,Long,USD/JPY,658817,4,2014-03-27 16:01,2014-04-15 16:00,102.14,101.61,-15.90,0.00,Sold
A2,Long,USD/JPY,663738,4,2014-04-08 20:01,2014-04-16 08:00,101.72,102.23,15.09,0.00,Sold
HU,Short,EUR/USD,665646,4,2014-04-14 00:01,2014-04-16 12:00,1.3849,1.3834,5.01,0.00,Sold
VO,Short,GBP/USD,665445,3,2014-04-11 16:01,2014-04-16 16:00,1.6734,1.6794,-15.85,0.00,Sold
BB,Short,AUD/USD,658112,5,2014-03-26 12:01,2014-04-16 20:00,0.9237,0.9376,-64.85,-4.08,Sold
BB,Short,AUD/USD,658918,5,2014-03-27 20:01,2014-04-16 20:00,0.9262,0.9376,-53.43,-3.32,Sold
BB,Short,AUD/USD,663737,5,2014-04-08 20:01,2014-04-16 20:00,0.9359,0.9376,-9.12,-1.27,Sold
ES,Short,EUR/USD,667256,5,2014-04-16 16:01,2014-04-17 04:00,1.3823,1.3839,-7.63,0.00,Sold
ES,Short,EUR/USD,667660,5,2014-04-17 08:01,2014-04-17 12:00,1.3841,1.3857,-7.14,0.00,Sold
HU,Short,NAS100,655488,13,2014-03-20 00:03,2014-04-17 17:40,3681,3549,150.30,0.00,Stop
CY,Long,EUR/USD,666550,5,2014-04-15 12:01,2014-04-18 00:00,1.3801,1.3812,4.43,0.00,Sold
CY,Short,EUR/USD,668064,4,2014-04-18 00:01,2014-04-22 16:00,1.3812,1.3805,2.38,0.00,Sold
ES,Short,EUR/USD,667862,5,2014-04-17 16:01,2014-04-23 08:00,1.3832,1.3824,3.34,0.00,Sold
HU,Short,UK100,662832,4,2014-04-07 08:01,2014-04-24 07:51,6639,6712,-38.15,0.00,Stop
CY,Long,AUD/USD,662230,6,2014-04-04 08:01,2014-04-24 10:20,0.9243,0.9264,12.82,2.30,Stop
HU,Short,GBP/USD,669365,3,2014-04-22 04:01,2014-04-24 20:00,1.6794,1.6800,-1.75,0.00,Sold
LP,Short,XAU/USD,666652,3,2014-04-15 16:01,2014-04-25 12:00,1303,1300,7.45,0.00,Sold
VO,Short,GBP/USD,670369,3,2014-04-23 20:01,2014-04-28 12:00,1.6781,1.6845,-16.76,0.00,Sold
HU,Long,USD/CAD,654779,4,2014-03-18 20:02,2014-04-28 12:00,1.1139,1.1018,-34.24,0.00,Sold
HU,Short,USD/JPY,666651,4,2014-04-15 16:01,2014-04-28 12:00,101.62,102.37,-22.55,0.00,Sold
HU,Short,NAS100,670370,13,2014-04-23 20:01,2014-04-29 08:00,3557,3559,-1.81,0.00,Sold
BB,Short,XAG/USD,671072,5,2014-04-25 00:01,2014-04-29 08:00,19.6498,19.3945,55.58,0.00,Sold
VO,Long,USD/CAD,665043,6,2014-04-11 00:01,2014-04-29 16:00,1.0932,1.0962,12.36,0.00,Sold
VO,Long,USD/CAD,667358,6,2014-04-16 20:01,2014-04-29 16:00,1.1019,1.0962,-24.08,0.00,Sold
LP,Short,XAU/USD,672482,3,2014-04-29 08:01,2014-04-29 20:00,1290,1296,-17.27,0.00,Sold
HP,Short,EUR/USD,667357,6,2014-04-16 20:01,2014-04-30 08:00,1.3818,1.3809,4.37,0.00,Sold
HU,Long,USD/JPY,671976,4,2014-04-28 12:01,2014-04-30 08:00,102.37,102.51,3.93,0.00,Sold
CY,Short,USD/CAD,666249,7,2014-04-15 00:01,2014-05-01 00:00,1.0969,1.0967,0.37,0.00,Sold
CY,Short,USD/CAD,667054,7,2014-04-16 08:01,2014-05-01 00:00,1.0986,1.0967,8.84,0.00,Sold
CY,Long,EUR/USD,673287,5,2014-04-30 16:01,2014-05-02 12:43,1.3870,1.3816,-23.42,0.00,Stop
LP,Short,XAU/USD,673086,3,2014-04-30 08:02,2014-05-02 15:13,1290,1305,-38.35,0.00,Stop
VO,Short,AUD/USD,670067,5,2014-04-23 08:01,2014-05-06 04:32,0.9278,0.9302,-13.81,-2.81,Stop
HU,Short,GER30,655694,4,2014-03-20 08:01,2014-05-06 08:00,9217,9540,-129.28,0.00,Sold
HU,Long,NAS100,672481,15,2014-04-29 08:01,2014-05-06 20:00,3559,3557,-2.32,0.00,Sold
HP,Long,EUR/USD,673084,6,2014-04-30 08:01,2014-05-07 00:00,1.3808,1.3930,63.54,0.00,Sold
CT,Short,USD/CAD,665847,5,2014-04-14 08:01,2014-05-07 12:00,1.0971,1.0888,28.76,0.00,Sold
CY,Long,AUD/USD,667359,6,2014-04-16 20:02,2014-05-07 20:00,0.9375,0.9333,-19.84,2.59,Sold
CY,Long,AUD/USD,670771,6,2014-04-24 12:01,2014-05-07 20:00,0.9267,0.9333,35.36,1.44,Sold
HU,Short,USD/JPY,673085,4,2014-04-30 08:01,2014-05-08 00:00,102.52,101.88,18.64,0.00,Sold
BB,Short,XAG/USD,674689,5,2014-05-05 00:01,2014-05-08 00:00,19.4813,19.3542,27.69,0.00,Sold
HP,Short,EUR/USD,675896,6,2014-05-07 00:01,2014-05-08 12:00,1.3929,1.3948,-10.15,0.00,Sold
A2,Short,XAU/USD,671978,3,2014-04-28 12:02,2014-05-08 12:00,1299,1293,16.65,0.00,Sold
A2,Short,XAU/USD,675091,3,2014-05-05 16:01,2014-05-08 12:00,1309,1293,41.16,0.00,Sold
A2,Long,USD/CHF,663940,1,2014-04-09 04:01,2014-05-09 08:00,0.8840,0.8806,-3.27,0.00,Sold
HP,Long,EUR/USD,676704,6,2014-05-08 12:01,2014-05-09 09:22,1.3949,1.3814,-71.09,0.00,Stop
CY,Long,EUR/USD,669666,5,2014-04-22 16:01,2014-05-09 09:23,1.3803,1.3805,0.59,0.00,Stop
LP,Long,GBP/USD,663133,4,2014-04-07 20:01,2014-05-09 16:00,1.6611,1.6849,82.38,0.00,Sold
HU,Short,USD/CAD,671975,4,2014-04-28 12:01,2014-05-09 16:00,1.1019,1.0900,33.18,0.00,Sold
ES,Short,EUR/USD,677006,5,2014-05-09 00:01,2014-05-12 05:05,1.3844,1.3766,33.39,0.00,Exit
LP,Short,XAU/USD,676399,3,2014-05-07 20:01,2014-05-12 16:00,1289,1299,-25.74,0.00,Sold
CY,Long,EUR/USD,677814,5,2014-05-12 08:01,2014-05-13 10:28,1.3772,1.3714,-25.23,0.00,Stop
BB,Short,AUD/USD,675594,5,2014-05-06 12:01,2014-05-13 12:00,0.9338,0.9360,-11.03,-1.02,Sold
CT,Long,NAS100,676502,13,2014-05-08 04:09,2014-05-13 12:00,3547,3618,80.02,0.00,Sold
LP,Long,USD/CAD,678516,5,2014-05-13 12:01,2014-05-13 16:00,1.0899,1.0892,-2.85,0.00,Sold
HU,Short,XAG/USD,648445,5,2014-03-04 08:02,2014-05-14 12:07,21.25,19.9503,282.47,0.00,Stop
LP,Long,USD/CAD,678819,5,2014-05-14 00:01,2014-05-14 16:00,1.0906,1.0886,-7.20,0.00,Sold
CY,Long,USD/CAD,676400,7,2014-05-08 00:01,2014-05-14 20:00,1.0899,1.0881,-9.21,0.00,Sold
HU,Long,USD/CAD,677412,4,2014-05-09 16:01,2014-05-14 20:00,1.0901,1.0881,-5.98,0.00,Sold
BB,Short,AUD/USD,679122,5,2014-05-14 12:01,2014-05-15 16:00,0.9397,0.9346,22.06,0.00,Sold
VO,Short,GBP/USD,677411,3,2014-05-09 16:01,2014-05-15 20:00,1.6850,1.6792,14.93,0.00,Sold
VO,Short,GBP/USD,678617,3,2014-05-13 16:01,2014-05-15 20:00,1.6838,1.6792,11.91,0.00,Sold
BB,Short,XAG/USD,678115,5,2014-05-12 20:01,2014-05-16 00:00,19.5316,19.5365,-1.06,0.00,Sold
BB,Short,XAG/USD,678618,5,2014-05-13 16:02,2014-05-16 00:00,19.5274,19.5365,-1.99,0.00,Sold
HP,Long,EUR/USD,678920,6,2014-05-14 04:01,2014-05-16 12:00,1.3719,1.3700,-9.92,0.00,Sold
HU,Short,XAG/USD,679825,5,2014-05-15 16:01,2014-05-19 08:00,19.4680,19.6072,-30.32,0.00,Sold
HU,Short,USD/CAD,679324,4,2014-05-14 20:01,2014-05-20 00:00,1.0879,1.0874,1.00,0.00,Sold
HU,Short,EUR/USD,672683,4,2014-04-29 16:01,2014-05-21 08:00,1.3808,1.3717,31.60,0.00,Sold
CY,Short,AUD/USD,676398,5,2014-05-07 20:01,2014-05-22 04:00,0.9334,0.9268,25.64,-2.55,Sold
CY,Short,AUD/USD,677209,5,2014-05-09 08:01,2014-05-22 04:00,0.9367,0.9268,40.48,-2.30,Sold
HU,Long,USD/CAD,681230,4,2014-05-20 00:02,2014-05-22 20:00,1.0874,1.0892,4.53,0.00,Sold
LP,Long,USD/CAD,681533,5,2014-05-20 12:01,2014-05-23 12:53,1.0891,1.0879,-4.70,0.00,Stop
VO,Long,USD/CAD,677613,6,2014-05-12 00:01,2014-05-26 00:00,1.0901,1.0871,-13.09,0.00,Sold
VO,Long,USD/CAD,682335,6,2014-05-21 20:01,2014-05-26 00:00,1.0914,1.0871,-18.93,0.00,Sold
HU,Short,USD/CAD,682940,4,2014-05-22 20:01,2014-05-27 20:00,1.0892,1.0860,8.64,0.00,Sold
A2,Long,XAU/USD,676705,3,2014-05-08 12:01,2014-05-28 00:10,1293,1262,-80.81,0.00,Stop
LP,Long,USD/CAD,685448,5,2014-05-29 00:01,2014-05-29 04:00,1.0872,1.0863,-3.48,0.00,Sold
VO,Short,AUD/USD,681532,5,2014-05-20 12:01,2014-05-29 06:17,0.9259,0.9297,-18.83,-1.78,Stop
CY,Short,GBP/USD,658213,4,2014-03-26 16:01,2014-05-29 08:00,1.6567,1.6704,-47.84,0.00,Sold
CY,Long,AUD/USD,682537,6,2014-05-22 04:01,2014-06-02 00:00,0.9270,0.9297,15.01,1.01,Sold
BB,Short,AUD/USD,685750,5,2014-05-29 12:01,2014-06-02 12:00,0.9292,0.9251,17.56,-0.25,Sold
ES,Short,GBP/USD,685147,6,2014-05-28 12:01,2014-06-03 08:17,1.6749,1.6773,-13.05,0.00,Stop
VO,Short,AUD/USD,686852,5,2014-06-02 08:01,2014-06-03 08:26,0.9256,0.9287,-13.90,-0.25,Stop
HU,Short,GBP/USD,681229,3,2014-05-20 00:01,2014-06-03 12:00,1.6816,1.6753,16.27,0.00,Sold
ES,Long,GBP/USD,687555,5,2014-06-03 12:01,2014-06-03 16:00,1.6754,1.6753,-0.89,0.00,Sold
CT,Long,USD/CAD,676197,4,2014-05-07 12:01,2014-06-04 00:00,1.0889,1.0918,7.81,0.00,Sold
ES,Short,GBP/USD,687656,6,2014-06-03 16:01,2014-06-05 08:00,1.6752,1.6761,-4.87,0.00,Sold
HU,Short,NAS100,675795,13,2014-05-06 20:01,2014-06-05 12:35,3559,3758,-225.40,0.00,Stop
HU,Short,XAG/USD,683341,5,2014-05-23 12:01,2014-06-05 16:00,19.3640,19.0994,57.61,0.00,Sold
HU,Short,EUR/USD,688357,4,2014-06-04 20:01,2014-06-05 20:00,1.3599,1.3658,-20.82,0.00,Sold
VO,Short,GBP/USD,684642,3,2014-05-27 16:01,2014-06-06 00:00,1.6801,1.6808,-2.18,0.00,Sold
VO,Short,GBP/USD,684743,3,2014-05-27 20:01,2014-06-06 00:00,1.6807,1.6808,-0.53,0.00,Sold
VO,Short,EUR/USD,677107,8,2014-05-09 04:01,2014-06-06 04:00,1.3840,1.3660,125.37,0.00,Sold
VO,Long,USD/CHF,655590,1,2014-03-20 04:01,2014-06-06 04:00,0.8813,0.8914,9.49,0.00,Sold
VO,Long,USD/CHF,677108,1,2014-05-09 04:01,2014-06-06 04:00,0.8808,0.8914,10.00,0.00,Sold
VO,Long,EUR/USD,689162,5,2014-06-06 04:01,2014-06-09 13:21,1.3659,1.3593,-29.19,0.00,Stop
LP,Long,USD/CAD,687053,5,2014-06-02 16:01,2014-06-10 04:00,1.0895,1.0901,1.85,0.00,Sold
ES,Long,GBP/USD,688658,5,2014-06-05 08:01,2014-06-10 13:56,1.6761,1.6768,2.76,0.00,Exit
LP,Long,GBP/USD,688960,4,2014-06-05 20:01,2014-06-10 14:45,1.6810,1.6757,-18.72,0.00,Stop
HP,Short,EUR/USD,680326,6,2014-05-16 12:01,2014-06-11 04:00,1.3699,1.3534,85.98,0.00,Sold
HP,Short,EUR/USD,681228,6,2014-05-20 00:01,2014-06-11 04:00,1.3712,1.3534,92.77,0.00,Sold
HP,Short,EUR/USD,682234,6,2014-05-21 16:01,2014-06-11 04:00,1.3658,1.3534,64.52,0.00,Sold
CY,Short,EUR/USD,680627,4,2014-05-19 00:01,2014-06-11 08:00,1.3704,1.3539,56.93,0.00,Sold
CY,Short,EUR/USD,681331,4,2014-05-20 04:01,2014-06-11 08:00,1.3713,1.3539,60.10,0.00,Sold
HU,Long,GER30,675493,4,2014-05-06 08:01,2014-06-11 12:00,9539,9930,156.54,0.00,Sold
LP,Short,GBP/USD,690667,3,2014-06-10 16:01,2014-06-11 16:00,1.6753,1.6795,-11.21,0.00,Sold
VO,Long,USD/JPY,682336,4,2014-05-21 20:01,2014-06-11 16:00,101.42,101.95,15.71,0.00,Sold
VO,Long,USD/JPY,684746,4,2014-05-27 20:02,2014-06-11 16:00,102.00,101.95,-1.54,0.00,Sold
VO,Long,USD/CAD,684744,6,2014-05-27 20:01,2014-06-11 20:00,1.0861,1.0866,1.74,0.00,Sold
VO,Long,USD/CAD,687154,6,2014-06-02 20:01,2014-06-11 20:00,1.0898,1.0866,-13.79,0.00,Sold
VO,Short,GBP/USD,690768,3,2014-06-10 20:01,2014-06-12 06:52,1.6754,1.6815,-16.07,0.00,Stop
BB,Short,XAG/USD,688961,5,2014-06-05 20:02,2014-06-12 14:44,19.0245,19.5019,-103.94,0.00,Stop
CY,Short,USD/CAD,679323,7,2014-05-14 20:01,2014-06-13 08:00,1.0879,1.0852,12.67,0.00,Sold
CY,Short,USD/CAD,682638,7,2014-05-22 08:01,2014-06-13 08:00,1.0908,1.0852,27.20,0.00,Sold
HP,Long,EUR/USD,690969,6,2014-06-11 04:01,2014-06-13 16:00,1.3534,1.3522,-6.12,0.00,Sold
